Input Query,Category
be or do,0
comparatives and superlatives,0
how to teach overcoming obstacles concept with the help of poem little by little,1
Present perfect simple or continuous,0
-,0
-----,0
1st conditional,0
2018 World Cup,1
2018 World Cup,1
2nd conditional,0
"A career profile
A descriptive article
Informative texts
Persuasive texts
News article
Advices and Warning texts
Informative article for historical events",1
A listening exercise so an audio file must be dynamic and interesting,0
A lo of then,0
A lo of then,0
"a new way to solve climate change. 1.company,2.combine…with…3.dydroponics ,4.mirror,5.reflect,6.pipe,7.desalination,8.litre.9,nutrient,10.to summarise,11.pesticide,12.solution,13.crisis,14.futhermore,15,fossil,16.negtive effect 17.thus",1
A test paper covering Past simple present continuous and Obligation modal verbs,0
"abc, animals, school",0
"abc, animals, school",0
about animals,0
"About personal life, job and hobbies, family",0
Abstract for iatofl and presentation on English language skill,1
Academic,0
Academic writing practice,0
Action Verbs Flashcards,1
adjective gerunds,0
adjectives,0
Adjectives,0
"adjectives, countries and nationalities",0
Adverbs of frequency and WH-questions,0
"Adverbs, Comparativa of superiority",0
Advertising,1
Advertising ads,0
advertising and food safety,1
Airport,1
Al topics,0
All,0
All,0
All,0
All,0
All,0
All,0
All,0
All,0
All,0
"All tenses, all types of conditionals, infinitive or gerund after verbs, shouldn't or mustn't",0
All topics,0
All topics,0
Alphabet,0
Alphabet and numbers,0
Alphabet.colours .numbers...,0
"alphabeth, days of the week, personal information, numbers",0
ancient civilizations/ ethics in business,1
any topic,0
Any topic,0
"Anything about Conversation, ESP",0
"Anything about Conversation, ESP",0
Are athletes icons?,1
Art or travelling,0
articles,0
Aspects of Jamaican Culture,1
At the Grocery Store - Buying Food,0
Australia,0
Banking,1
basic english,0
Basic english,0
basic engluah for kids,0
Basic vocabulary,0
basic vocabulary and basic grammar rules ...,0
Be going to,0
Be going to,0
Beginner level english. Focus on learning new vocabulary. Please note this is for only 1 student. The work needs to be comprehensive and fun....,1
Beverages,1
Big cities,0
Body Parts,0
"body parts, colors, shapes, farm animals, sea animals, seasons
",0
"Body Parts, Movement, Sports",1
"British realia, literature ,life in English speaking countries",1
"Buisness English ...
.grammar",0
Buisness English ... Syllabus,0
business,0
Business,0
Business - listening activities,0
Business and communication,0
business communication,0
business communication,0
Business english,0
business english,0
Business english,0
Business English Communication,0
Business issues,0
"Business, family, current events",0
business/vocabulary,0
"Bussiness role plays, speaking things, Bussiness listenings and readings",0
Camping,1
Camping,1
CAUSATIVES: to have something done/ To have/make/let/get to someone do soemthing,0
changing sentence,1
Character analysis - song of Hiawatha (how to teach character of Hiawatha with some creativity),1
character analysis - song of Hiawatha. ( how to teach with some creativity),1
Charlotte Bronte Jane eyre,1
chemistry,1
Chores,1
Civil disobedience vs. moral curage,1
climate change,1
Clothing,0
Clothing,0
Clothing and Seasons,1
College Readiness,1
collocations,0
Collocations conditionals,0
Collocations conditionals,0
"colloquial, business",0
colors,0
"Colors, numbers, time, family, animals, objects",0
colours,0
Colours,0
combination verbs in gerund and infinitive (two verbs),0
Communication/writing,0
Communication/writing,0
community,0
"Company structure, names and acticities of departments",1
Comparative,0
Comparative of inferiority,0
"Comparative, Possesive Pronoun",0
comparatives and superlatives,0
Comparatives and superlatives and irregular adjectives,0
computing,1
conditional sentences,0
conditional sentences,0
Conditionals,0
conditionals,0
conditionals,0
Conditionals,0
Conditionals,0
Conjuction,0
Conjuction,0
Construction,0
Conversation,0
Conversation,0
Conversation,0
Conversation,0
Conversation,0
Conversation,0
Conversation,0
Conversation,0
Conversation,0
Conversation lesson please,0
"Conversation only class
 Student has basic basic vocabulary. So a lesson plan that allows him to get to know the language. I have already taught him how to say My name is ...where he lives etc and about his family so something that reflects the above. Please note there is only 1 student in the class ok. So plan needs to be for just him. Thanks",1
Conversation Skills. Please note it needs to be dynamic . Also there is only one student .,0
conversation topics,0
Conversational,0
conversational classes,0
Cool speaking topics,0
corporate law,1
Corporation culuture,1
Countainers,0
Countries,0
Countries,0
Countries,0
Countries,0
countries and nationalities,0
Countries and nationalities,0
Countries and nationalities. Conversation,0
Coutables and uncountables with Some - Any,0
Create English Conversation Scenarios ....topics,0
Crime,1
Culture,0
Culture,0
Culture,0
Culture,0
Current affairs,1
Cust servicr,1
Daily English,0
Daily English,0
Daily routines,0
daily routines,0
Daily routiness/ Description of my day,0
debate,0
debate,0
Deninite and indefinite articles,0
Describe embarassing events,0
Describing people,0
"Descriptions, contractions, simple past and present perfect",0
"develop speaking,writing and reading skills",0
Dialogue about routines,0
dialogues,0
Digital Humanitarianism,1
Digital learning,0
Digital learning for learning and teaching language skills,0
Dracula bram stoker,1
Economics or politics,0
Education,0
education,0
education,0
Education,0
Education- society- simple past- irregular verb vs regular- reflexive pronouns,0
Effective way for teaching vowels and consonants,1
Efficient method for teaching vowels and consonant for elementary,1
elementary vocabulary,0
Elements atoms protons neutrons electrons,1
Email writing,0
English,0
English,0
English,0
English,0
english,0
English,0
English,0
English,0
English,0
English,0
English,0
